"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-07",,,"17.6","H,,S","22.2",",,S","9.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-08",,,"10.9","H,,S","15.1",",,S","5.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-09",,,"11.8","H,,S","18.9",",,S","4.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-10",,,"8.3","H,,S","21.0",",,S","1.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-11",,,"9.5","H,,S","22.3",",,S","0.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-12",,,"9.9","H,,S","22.3",",,S","2.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-13",,,"7.3","H,,S","16.9",",,S","1.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-15",,,"6.1","H,,S","12.9",",,S","-1.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-16",,,"8.7","H,,S","19.0",",,S","-2.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-17",,,"8.6","H,,S","19.0",",,S","-1.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-18",,,"5.9","H,,S","17.6",",,S","-1.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-19","2.0",",,S","7.5","H,,S","13.9",",,S","2.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-20","0.3",",,S","5.2","H,,S","13.9",",,S","0.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-21","0.0",",,S","6.3","H,,S","16.4",",,S","-3.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-22",,,"9.8","H,,S","19.1",",,S","0.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-23",,,"12.0","H,,S","20.6",",,S","4.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-24",,,"16.1","H,,S","22.6",",,S","6.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-25",,,"14.0","H,,S","22.6",",,S","3.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-26",,,"8.7","H,,S","20.9",",,S","0.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-27",,,"8.0","H,,S","19.0",",,S","-3.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-28",,,"11.8","H,,S","22.5",",,S","1.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-29",,,"7.3","H,,S","22.5",",,S","2.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-30",,,"2.8","H,,S","15.6",",,S","-0.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-08-31",,,"8.8","H,,S","18.4",",,S","-1.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-01",,,"14.2","H,,S","19.1",",,S","9.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-02",,,"17.9","H,,S","24.8",",,S","13.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-03",,,"13.5","H,,S","24.8",",,S","7.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-04",,,"14.1","H,,S","24.1",",,S","5.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-05",,,"7.8","H,,S","24.1",",,S","1.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-06",,,"8.8","H,,S","20.7",",,S","-0.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-07",,,"11.4","H,,S","23.1",",,S","2.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-08",,,"15.7","H,,S","26.1",",,S","2.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-09",,,"17.6","H,,S","27.0",",,S","7.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-10",,,"19.6","H,,S","26.5",",,S","4.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-11",,,"14.0","H,,S","26.5",",,S","4.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-12",,,"9.0","H,,S","23.1",",,S","5.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-13",,,"11.1","H,,S","20.3",",,S","5.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-14",,,"15.6","H,,S","24.3",",,S","7.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-15",,,"17.2","H,,S","26.5",",,S","8.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-16",,,"20.2","H,,S","28.1",",,S","8.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-17","2.0",",,S","17.2","H,,S","28.1",",,S","12.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-18","15.0",",,S","14.3","H,,S","17.4",",,S","9.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-20",,,"7.5","H,,S","9.7",",,S","3.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-21",,,"9.9","H,,S","18.6",",,S","4.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-22",,,"13.9","H,,S","22.0",",,S","2.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-23",,,"14.4","H,,S","23.6",",,S","2.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-24",,,"18.1","H,,S","26.4",",,S","3.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-25",,,"21.3","H,,S","26.0",",,S","10.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-26",,,"17.6","H,,S","26.0",",,S","15.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-27",,,"19.3","H,,S","26.8",",,S","7.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-28","1.0",",,S","15.6","H,,S","26.8",",,S","13.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-29","1.0",",,S","21.9","H,,S","27.1",",,S","15.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-09-30","10.9",",,S","18.8","H,,S","27.1",",,S","13.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-01","0.0",",,S","18.3","H,,S","26.3",",,S","9.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-02",,,"20.2","H,,S","29.7",",,S","8.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-03",,,"17.2","H,,S","29.7",",,S","7.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-04",,,"14.3","H,,S","28.7",",,S","8.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-05",,,"15.7","H,,S","27.6",",,S","7.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-06",,,"17.3","H,,S","29.1",",,S","7.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-07",,,"13.1","H,,S","29.1",",,S","8.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-08",,,"17.8","H,,S","30.8",",,S","7.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-09",,,"20.1","H,,S","31.1",",,S","12.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-10",,,"21.3","H,,S","31.1",",,S","10.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-11",,,"23.3","H,,S","32.4",",,S","17.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-12",,,"24.1","H,,S","32.4",",,S","18.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-20","0.3",",,S","22.2","H,,S","28.9",",,S","16.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-21","3.0",",,S","19.6","H,,S","28.9",",,S","14.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-22","10.9",",,S","16.6","H,,S","27.7",",,S","13.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-23","2.0",",,S","17.3","H,,S","25.2",",,S","13.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-24","0.0",",,S","19.2","H,,S","25.8",",,S","11.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-25",,,"20.2","H,,S","26.0",",,S","16.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-26",,,"17.3","H,,S","21.5",",,S","10.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-27",,,"18.4","H,,S","27.4",",,S","10.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-28",,,"16.6","H,,S","27.4",",,S","9.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-29",,,"20.2","H,,S","27.9",",,S","13.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-30",,,"20.8","H,,S","29.7",",,S","11.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-10-31",,,"12.8","H,,S",,,"8.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-01",,,"16.0","H,,S","24.8",",,S","6.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-03",,,"16.3","H,,S","21.9",",,S","10.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-04",,,"13.8","H,,S","21.9",",,S","10.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-10",,,"17.9","H,,S","25.1",",,S","8.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-11",,,"18.5","H,,S","23.1",",,S","12.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-12","7.9",",,S","15.2","H,,S","23.1",",,S","12.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-13","25.9",",,S","14.2","H,,S","21.7",",,S","8.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-14","0.0",",,S","13.6","H,,S","23.5",",,S","6.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-15",,,"20.4","H,,S","28.0",",,S","10.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-16",,,"18.4","H,,S","28.0",",,S","9.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-23",,,"20.6","H,,S","28.5",",,S","10.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-24",,,"22.4","H,,S","28.5",",,S","10.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-25",,,"19.3","H,,S","28.5",",,S","10.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-26",,,"14.7","H,,S","28.5",",,S","9.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-27",,,"17.9","H,,S","23.2",",,S","10.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-28",,,"23.0","H,,S","27.0",",,S","10.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-29",,,"25.4","H,,S","30.0",",,S","16.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-11-30","9.9",",,S","23.4","H,,S","31.5",",,S","13.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-06",,,"17.5","H,,S","24.4",",,S","8.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-07",,,"22.7","H,,S","30.0",",,S","11.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-08",,,"22.5","H,,S","30.0",",,S","13.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-09",,,"25.1","H,,S","30.9",",,S","17.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-23",,,"20.7","H,,S","26.1",",,S","16.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-24","10.9",",,S","22.6","H,,S","28.2",",,S","14.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-25","0.0",",,S","15.1","H,,S","28.2",",,S","10.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-26",,,"18.4","H,,S","26.9",",,S","9.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-27",,,"24.7","H,,S","30.5",",,S","11.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-28",,,"28.4","H,,S","33.3",",,S","14.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-29","2.0",",,S","16.6","H,,S",,,"7.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-30","0.0",",,S","16.9","H,,S","26.5",",,S","6.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2022-12-31",,,"19.3","H,,S","26.8",",,S","12.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-01","8.9",",,S","20.8","H,,S","28.8",",,S","11.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-02",,,"21.9","H,,S","30.3",",,S","15.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-03","6.1",",,S","22.8","H,,S","30.8",",,S","12.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-04","0.8",",,S","20.2","H,,S","30.8",",,S","13.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-05","0.0",",,S","13.6","H,,S","29.8",",,S","10.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-06","11.9",",,S","10.9","H,,S","18.4",",,S","8.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-07","0.0",",,S","17.3","H,,S","22.7",",,S","7.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-08",,,"22.3","H,,S","28.5",",,S","9.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-09",,,"28.6","H,,S","33.2",",,S","16.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-10",,,"28.6","H,,S","34.4",",,S","15.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-11",,,"27.7","H,,S","34.9",",,S","15.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-12",,,"28.8","H,,S","34.9",",,S","18.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-13",,,"29.6","H,,S","35.7",",,S","17.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-18",,,"25.4","H,,S","35.2",",,S","17.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-19","1.0",",,S","22.7","H,,S","35.2",",,S","17.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-20","7.1",",,S","24.5","H,,S","32.4",",,S","16.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-21","0.0",",,S","25.2","H,,S","33.2",",,S","18.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-22",,,"20.7","H,,S","33.2",",,S","15.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-23",,,"23.2","H,,S","30.8",",,S","13.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-24",,,"20.7","H,,S","24.8",",,S","15.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-25",,,"14.4","H,,S","24.8",",,S","12.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-27","13.0",",,S","25.3","H,,S","30.7",",,S","13.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-28","0.0",",,S","26.6","H,,S","32.2",",,S","14.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-29",,,"15.6","H,,S","20.6",",,S","9.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-30",,,"18.2","H,,S","27.9",",,S","8.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-01-31",,,"21.1","H,,S","29.9",",,S","14.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-01","2.0",",,S","21.6","H,,S","29.9",",,S","13.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-03","0.0",",,S","22.6","H,,S","29.7",",,S","18.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-04","14.0",",,S","20.4","H,,S","30.3",",,S","14.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-05","3.0",",,S","21.6","H,,S","30.3",",,S","15.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-06","0.3",",,S","24.3","H,,S","29.9",",,S","15.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-07","0.8",",,S","20.7","H,,S","29.9",",,S","15.2",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-08","10.9",",,S","15.1","H,,S","26.5",",,S","14.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-09","0.0",",,S","16.5","H,,S","18.5",",,S","14.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-10",,,"18.2","H,,S","22.9",",,S","12.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-11",,,"17.8","H,,S","22.9",",,S","13.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-12",,,"20.9","H,,S","27.2",",,S","14.4",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-13",,,"23.2","H,,S","29.9",",,S","13.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-14",,,"23.8","H,,S","31.8",",,S","14.7",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-15",,,"22.7","H,,S","31.8",",,S","15.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-16","23.9",",,S","19.4","H,,S","30.3",",,S","15.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-17","30.0",",,S","18.8","H,,S","27.5",",,S","13.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-18","23.1",",,S","18.1","H,,S","27.5",",,S","13.8",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-19","1.0",",,S","20.8","H,,S","28.9",",,S","13.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-20","0.0",",,S","18.2","H,,S","28.9",",,S","10.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-21",,,"15.3","H,,S","24.1",",,S","7.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-22",,,"20.4","H,,S","28.9",",,S","8.0",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-23",,,"24.6","H,,S","31.6",",,S","12.6",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-24",,,"27.9","H,,S","33.3",",,S","13.5",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-25",,,"22.2","H,,S","28.3",",,S","14.1",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-26",,,"19.8","H,,S","28.9",",,S","10.3",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-27",,,"25.8","H,,S","32.0",",,S","13.9",",,S"
"SF001447910","NOUPOORT, SF","-31.183","24.95","1496.0","2023-02-28",,,"23.1","H,,S","32.0",",,S","13.9",",,S"
